,SGCN,SGCN,2-period SGCN,2-period SGCN,3-period SGCN,3-period SGCN
97,0.59333235,0.779735994,0.563009143,0.796516152,0.570761085,0.817088884
98,0.594995975,0.774340785,0.564579308,0.796828906,0.570185661,0.816642357
99,0.596367002,0.780613065,0.561345398,0.797400228,0.567304552,0.816298513
100,0.602294028,0.772517897,0.560940146,0.798218295,0.563931227,0.817389487
101,0.592986584,0.780091004,0.561069548,0.799248951,0.566456497,0.818877289
102,0.587247968,0.776194762,0.561438382,0.800151637,0.560949802,0.819026824
103,0.584739506,0.777261325,0.561143458,0.800756347,0.56365937,0.820064486
104,0.587867975,0.783428076,0.557552814,0.801307855,0.565995336,0.819938815
105,0.587525308,0.77852329,0.556556225,0.801637359,0.558540344,0.822432314
106,0.579501808,0.784137329,0.556920052,0.8019962,0.564293623,0.826364243
107,0.579306602,0.785632137,0.556684554,0.80241306,0.55951041,0.8289509
108,0.579955459,0.782952211,0.552586436,0.802905345,0.559948027,0.829714889
109,0.579119444,0.786997551,0.553896487,0.803525928,0.558269918,0.827166217
110,0.575352669,0.786978394,0.551194549,0.803943664,0.557409883,0.826819637
111,0.572752178,0.785119381,0.54975009,0.804319473,0.560263634,0.825370697
112,0.579001248,0.789973482,0.547460794,0.804662223,0.554675698,0.827929549
113,0.575233221,0.786495852,0.546288192,0.805211651,0.553154051,0.826793364
114,0.56982559,0.79046303,0.546307921,0.80574006,0.550683916,0.829167322
115,0.56926316,0.792981488,0.546182036,0.806352324,0.55151701,0.82684569
116,0.576674104,0.789369429,0.545988142,0.807315219,0.551595032,0.828059708
117,0.571564198,0.795938481,0.545493066,0.808460052,0.549387813,0.829103391
118,0.565319002,0.795252763,0.545171082,0.809458414,0.550446689,0.83041845
119,0.568582416,0.794547122,0.543350577,0.810412442,0.547368765,0.835655585
120,0.56255877,0.798402313,0.53912878,0.810659405,0.556303978,0.832722019
121,0.562522113,0.796934326,0.541300416,0.810351686,0.554964185,0.833372596
122,0.560296953,0.795844884,0.540275753,0.810804343,0.54819113,0.82992299
123,0.55775398,0.797244453,0.536444604,0.812176216,0.544761419,0.831556934
124,0.55641675,0.796555889,0.54063344,0.813762869,0.544940889,0.836074306
125,0.556692302,0.797993663,0.539572239,0.815688001,0.54811424,0.836974913
126,0.555354536,0.799279384,0.540743887,0.815533321,0.543117225,0.838370431
127,0.555876315,0.79882815,0.549317479,0.817158616,0.539561033,0.835850222
128,0.55524236,0.802424117,0.550744593,0.814631291,0.545120239,0.832483156
129,0.553391218,0.802998613,0.53486073,0.815247714,0.541325152,0.834466964
130,0.551765203,0.802886188,0.543509781,0.817225502,0.540226996,0.835931886
131,0.552890003,0.803538846,0.546992064,0.81572752,0.535312533,0.839766606
132,0.550435662,0.803602229,0.531675994,0.816651115,0.537676096,0.840408098
133,0.549452662,0.80750679,0.544750869,0.819056819,0.533984244,0.840258563
134,0.55229187,0.805311378,0.534044325,0.81615675,0.535902262,0.838387837
135,0.553561866,0.809570073,0.53890115,0.81527968,0.537883818,0.836163086
136,0.559756041,0.805637378,0.535117328,0.816896764,0.5380041,0.83675663
137,0.548445702,0.809183755,0.53257978,0.817490637,0.534857452,0.836791332
138,0.545515418,0.810620544,0.537362456,0.817906731,0.537147164,0.836869165
139,0.549551189,0.808120368,0.528587699,0.820322506,0.535289049,0.834751366
140,0.547879994,0.808971713,0.531815827,0.822834724,0.535906434,0.837890079
141,0.539536238,0.808524858,0.526970208,0.821281132,0.537482679,0.840639079
142,0.543040156,0.811357603,0.528560281,0.820602201,0.533593357,0.845411954
143,0.545566022,0.813534406,0.528126419,0.82196455,0.529690623,0.844965099
144,0.545711637,0.809878559,0.530678868,0.822163675,0.528728545,0.843224204
145,0.542405248,0.811026567,0.526735723,0.821969038,0.529912829,0.842339908
146,0.543347239,0.815640272,0.524759591,0.823540913,0.530102015,0.840730596
147,0.553019881,0.81390704,0.525264204,0.825406493,0.534142315,0.840730815
148,0.53792417,0.812953341,0.526169837,0.824478301,0.535142303,0.838387618
149,0.541744828,0.815591558,0.524207532,0.824815577,0.54337132,0.844075987
